Machine_ID,Temprature,Run_Time,Downtime_Flag
M15018,298.4,380,0
L47339,298.4,169,0
L47340,298.4,305,1
L47341,298.3,102,1
L47342,298.3,148,0
M15023,298.4,287,0
M15024,298.5,389,0
L47345,298.5,419,0
H29580,298.4,301,0
H29581,298.4,172,0
L47348,298.4,342,1
L47349,298.4,395,0
M15030,298.4,262,0
L47351,298.2,418,0
M15032,298.1,118,0
M15033,298.2,151,0
L47354,298.2,464,0
L47355,298.2,436,0
L47356,298.2,204,0
L47357,298.2,224,0
L47358,298.2,168,0
L47359,298.2,461,0
L47360,298.2,390,0
H29595,298.2,315,0
M15042,298.1,469,0
L47363,298.1,494,0
L47364,298.2,222,0
L47365,298.2,181,0
L47366,298.1,297,0
L47367,298.2,411,0
L47368,298.3,302,0
M15049,298.3,428,0
L47370,298.2,464,0
L47371,298.2,281,0
H29606,298.2,222,0
H29607,298.2,444,0
M15054,298.2,287,1
L47375,298.3,219,0
H29610,298.3,414,0
M15057,298.4,414,0
L47378,298.4,360,0
L47379,298.4,231,0
L47380,298.4,107,0
L47381,298.3,147,0
M15062,298.4,127,0
L47383,298.4,406,0
L47384,298.4,334,0
M15065,298.5,206,0
L47386,298.5,432,0
M15067,298.4,281,1
L47388,298.4,131,0
L47389,298.4,319,0
L47390,298.4,400,0
L47391,298.5,335,0
H29626,298.4,261,0
L47393,298.4,372,0
M15074,298.3,258,0
L47395,298.3,459,0
L47396,298.3,333,0
L47397,298.3,147,0
L47398,298.3,335,0
M15079,298.3,156,0
L47400,298.3,100,0
H29635,298.4,103,0
L47402,298.4,252,0
L47403,298.4,133,0
L47404,298.3,490,0
L47405,298.3,271,0
L47406,298.3,403,0
L47407,298.3,383,0
M15088,298.3,226,0
L47409,298.3,401,0
L47410,298.3,228,0
L47411,298.3,138,0
L47412,298.2,269,0
L47413,298.2,143,0
L47414,298.2,284,0
M15095,298.1,197,0
L47416,298.1,373,0
M15097,298,443,0
L47418,297.9,405,0
L47419,298,325,0
M15100,298,108,0
L47421,298,150,0
L47422,298,138,1
L47423,298,393,0
M15104,298,227,0
M15105,297.9,187,0
L47426,297.9,349,0
L47427,298,364,0
L47428,298,105,1
L47429,298,333,1
L47430,298,100,0
M15111,298,164,0
L47432,298,229,0
L47433,298,309,0
L47434,298,192,0
L47435,298,437,0
L47436,298.1,127,0
L47437,298,233,0
L47438,298.1,430,0
M15119,298.1,193,1
M15120,298.2,126,0
L47441,298.1,104,0
M15122,298.1,272,0
M15123,298,413,0
L47444,298.1,237,0
L47445,298,214,0
H29680,298,410,0
L47447,297.9,178,0
H29682,297.9,333,0
L47449,298,108,0
H29684,298,128,0
M15131,298.1,375,0
L47452,298.1,170,0
L47453,298.1,144,0
L47454,298.1,355,0
L47455,298,114,0
M15136,298,204,0
H29691,298,293,0
M15138,298,256,0
L47459,298,471,0
M15140,298.1,333,0
L47461,298.1,277,0
M15142,298.1,432,0
L47463,298.2,215,0
L47464,298.2,203,0
L47465,298.2,358,0
L47466,298.2,324,0
L47467,298.2,470,0
H29702,298.2,115,0
L47469,298.1,468,0
L47470,298.1,327,0
L47471,298,340,0
L47472,298.1,405,0
H29707,298.1,467,0
M15154,298.1,141,0
M15155,298.1,110,0
L47476,298,206,0
L47477,298,304,0
H29712,297.9,483,0
M15159,297.8,492,0
L47480,297.8,134,0
L47481,297.7,394,0
H29716,297.8,163,0
M15163,297.8,297,0
L47484,297.8,489,0
L47485,297.8,318,0
L47486,297.8,190,0
M15167,297.8,328,0
L47488,297.9,125,0
M15169,297.9,459,0
H29724,298,457,0
M15171,298,408,0
L47492,297.9,347,0
L47493,298,143,0
M15174,297.9,314,0
L47495,297.9,356,0
L47496,297.8,396,0
L47497,297.8,131,0
L47498,297.8,147,0
L47499,297.8,134,0
H29734,297.8,321,0
L47501,297.8,394,0
L47502,297.8,363,0
L47503,297.8,498,0
M15184,297.8,344,0
L47505,297.8,300,0
L47506,297.7,373,0
L47507,297.7,371,1
H29742,297.6,296,0
H29743,297.7,335,0
M15190,297.6,161,0
M15191,297.6,407,0
M15192,297.6,137,0
L47513,297.5,285,0
M15194,297.5,171,0
L47515,297.4,207,0
M15196,297.6,221,0
L47517,297.6,168,0
L47518,297.5,454,0
M15199,297.5,410,0
L47520,297.4,232,0
M15201,297.4,209,0
L47522,297.4,272,0
L47523,297.5,367,0
M15204,297.5,326,0
L47525,297.5,309,0
M15206,297.5,286,0
L47527,297.5,361,0
L47528,297.6,130,0
L47529,297.6,211,0
H29764,297.6,420,0
M15211,297.6,284,0
M15212,297.6,134,0
H29767,297.5,473,0
L47534,297.6,488,0
L47535,297.6,500,0
M15216,297.6,226,0
L47537,297.6,391,0
M15218,297.6,124,0
M15219,297.6,299,0
M15220,297.5,286,0
L47541,297.5,491,0
H29776,297.6,438,0
L47543,297.6,176,0
L47544,297.6,398,0
L47545,297.6,484,0
M15226,297.6,338,0
M15227,297.6,363,0
L47548,297.5,271,0
H29783,297.5,109,0
M15230,297.5,108,0
L47551,297.5,304,0
M15232,297.4,493,0
L47553,297.4,454,0
L47554,297.4,344,0
L47555,297.4,433,0
M15236,297.4,227,0
M15237,297.4,131,0
L47558,297.3,309,0
L47559,297.3,159,0
L47560,297.5,136,1
L47561,297.5,269,0
L47562,297.5,209,0
M15243,297.5,181,0
L47564,297.5,145,0
M15245,297.6,471,0
L47566,297.6,462,0
L47567,297.7,248,0
L47568,297.6,376,0
M15249,297.6,389,0
L47570,297.6,233,0
L47571,297.6,458,0
M15252,297.6,336,0
M15253,297.5,430,0
L47574,297.5,412,0
L47575,297.4,192,0
L47576,297.4,280,0
M15257,297.4,381,0
H29812,297.4,395,0
L47579,297.4,110,0
L47580,297.4,414,0
L47581,297.5,301,0
L47582,297.4,388,0
L47583,297.3,294,0
L47584,297.3,320,0
L47585,297.3,137,0
L47586,297.4,122,0
M15267,297.4,409,0
M15268,297.4,258,0
L47589,297.4,154,0
M15270,297.5,228,0
L47591,297.5,371,0
L47592,297.5,313,0
L47593,297.4,169,0
L47594,297.4,127,0
L47595,297.5,105,0
L47596,297.4,388,0
L47597,297.4,249,0
L47598,297.4,319,0
M15279,297.3,343,0
M15280,297.3,311,0
M15281,297.3,494,0
L47602,297.3,204,0
L47603,297.3,175,0
L47604,297.3,148,0
M15285,297.3,142,0
L47606,297.4,245,0
M15287,297.5,107,0
M15288,297.6,261,0
L47609,297.5,142,0
L47610,297.5,266,0
L47611,297.5,415,0
M15292,297.6,452,0
M15293,297.6,147,0
M15294,297.5,470,0
L47615,297.4,332,0
L47616,297.3,326,0
L47617,297.3,373,0
L47618,297.4,376,0
M15299,297.4,294,0
L47620,297.4,460,0
H29855,297.5,423,0
L47622,297.4,226,1
H29857,297.4,378,0
L47624,297.4,162,0
L47625,297.5,158,0
L47626,297.5,384,0
M15307,297.6,205,0
L47628,297.5,312,0
L47629,297.6,409,0
M15310,297.6,152,0
H29865,297.5,307,0
M15312,297.4,287,0
L47633,297.4,284,0
L47634,297.4,410,0
L47635,297.4,290,0
H29870,297.3,368,0
L47637,297.4,389,0
L47638,297.3,116,0
L47639,297.4,277,0
H29874,297.3,479,0
L47641,297.4,315,0
L47642,297.4,113,0
L47643,297.4,237,1
L47644,297.3,303,0
M15325,297.3,309,0
L47646,297.2,111,0
L47647,297.2,455,0
L47648,297.3,261,0
M15329,297.3,176,0
H29884,297.3,153,0
H29885,297.3,166,0
M15332,297.4,370,0
M15333,297.4,173,0
L47654,297.4,251,0
L47655,297.4,169,0
L47656,297.4,269,0
H29891,297.4,334,0
L47658,297.4,466,0
M15339,297.4,250,0
L47660,297.4,176,0
M15341,297.3,230,0
L47662,297.3,260,0
L47663,297.4,360,0
L47664,297.4,136,0
M15345,297.4,255,0
M15346,297.4,300,0
M15347,297.4,131,0
L47668,297.4,297,0
M15349,297.5,460,0
L47670,297.4,308,0
L47671,297.4,281,0
L47672,297.5,139,0
L47673,297.5,390,0
L47674,297.6,224,0
H29909,297.5,255,0
M15356,297.5,133,0
L47677,297.4,461,0
L47678,297.5,217,0
L47679,297.5,206,0
M15360,297.5,425,0
M15361,297.6,487,0
L47682,297.6,417,0
M15363,297.6,375,0
M15364,297.6,126,0
L47685,297.6,476,0
L47686,297.6,482,0
H29921,297.8,492,0
L47688,297.7,211,0
M15369,297.6,401,0
L47690,297.5,214,0
L47691,297.5,189,0
L47692,297.5,275,0
L47693,297.4,324,0
L47694,297.4,493,0
L47695,297.5,301,0
L47696,297.5,309,0
M15377,297.5,164,0
L47698,297.6,197,0
M15379,297.7,345,0
L47700,297.6,331,0
L47701,297.5,240,0
M15382,297.5,297,0
L47703,297.4,180,0
L47704,297.4,448,0
L47705,297.4,320,0
L47706,297.6,169,0
M15387,297.6,498,0
M15388,297.5,145,0
L47709,297.6,494,0
M15390,297.6,221,0
L47711,297.6,266,0
L47712,297.5,342,0
L47713,297.5,469,0
L47714,297.5,370,0
H29949,297.4,385,0
L47716,297.4,425,0
H29951,297.4,161,0
M15398,297.4,384,0
M15399,297.4,343,0
L47720,297.4,105,0
L47721,297.4,271,0
L47722,297.5,452,0
H29957,297.5,316,0
M15404,297.5,413,0
L47725,297.6,228,0
L47726,297.5,500,0
M15407,297.5,472,0
L47728,297.4,152,0
L47729,297.4,264,0
L47730,297.4,235,0
L47731,297.4,348,0
M15412,297.4,367,0
M15413,297.4,218,0
H29968,297.5,138,0
M15415,297.4,160,0
L47736,297.5,252,0
M15417,297.5,284,0
L47738,297.5,486,0
L47739,297.5,109,0
L47740,297.5,125,0
M15421,297.5,167,0
L47742,297.6,313,0
L47743,297.7,444,0
H29978,297.6,270,0
H29979,297.7,330,0
M15426,297.6,497,0
M15427,297.7,448,0
L47748,297.8,107,0
M15429,297.7,397,0
L47750,297.7,488,0
M15431,297.8,404,0
L47752,297.8,300,0
L47753,297.9,313,0
M15434,297.9,118,0
M15435,297.9,446,0
H29990,297.7,447,0
L47757,297.7,322,0
L47758,297.8,107,0
M15439,297.8,426,0
M15440,297.8,130,0
L47761,297.8,121,0
L47762,297.8,272,0
H29997,297.7,233,0
H29998,297.6,196,0
L47765,297.6,413,0
L47766,297.6,338,1
H30001,297.6,316,0
L47768,297.6,221,0
L47769,297.6,310,0
L47770,297.5,326,0
H30005,297.5,347,0
H30006,297.5,246,0
L47773,297.5,324,0
H30008,297.6,329,0
M15455,297.6,191,0
M15456,297.6,422,0
H30011,297.6,110,0
L47778,297.7,325,0
H30013,297.7,113,0
L47780,297.8,205,0
L47781,297.9,348,0
L47782,297.9,436,0
L47783,297.9,188,1
L47784,297.9,488,0
M15465,297.9,400,0
L47786,297.9,254,0
M15467,298,100,0
L47788,298,494,0
L47789,298.1,213,0
L47790,298.1,351,0
L47791,298.1,242,0
L47792,298.1,349,0
L47793,298.1,259,0
M15474,298,252,0
L47795,298.1,253,0
H30030,298.1,298,0
M15477,298.1,319,0
H30032,298.2,459,0
L47799,298.3,268,0
M15480,298.3,124,0
L47801,298.3,178,0
M15482,298.4,498,0
L47803,298.4,379,0
H30038,298.3,353,0
L47805,298.3,309,0
L47806,298.4,431,0
L47807,298.4,342,0
M15488,298.4,369,0
L47809,298.3,321,0
L47810,298.3,107,0
L47811,298.4,213,0
H30046,298.3,446,0
L47813,298.3,437,0
L47814,298.3,270,0
L47815,298.3,460,0
L47816,298.3,372,0
L47817,298.2,396,0
L47818,298,233,0
L47819,298,288,0
M15500,297.9,161,0
L47821,297.9,497,0
M15502,297.8,328,0
M15503,297.8,174,0
H30058,297.7,202,0
L47825,297.7,303,0
M15506,297.7,465,0
L47827,297.7,435,0
H30062,297.7,162,0
M15509,297.7,360,0
L47830,297.6,307,0
L47831,297.6,115,0
L47832,297.7,381,0
L47833,297.8,225,0
L47834,297.8,108,0
L47835,297.7,399,0
M15516,297.7,342,0
L47837,297.7,290,0
L47838,297.7,116,0
L47839,297.6,174,0
M15520,297.7,143,0
M15521,297.6,270,0
M15522,297.6,146,0
L47843,297.5,364,0
L47844,297.5,492,0
L47845,297.5,151,0
L47846,297.5,294,0
L47847,297.5,222,0
L47848,297.5,460,0
H30083,297.5,312,0
L47850,297.6,386,0
L47851,297.5,259,0
M15532,297.6,471,0
L47853,297.6,153,0
L47854,297.8,339,0
M15535,297.8,414,0
H30090,297.9,182,0
L47857,297.9,499,0
M15538,297.8,407,0
L47859,297.8,265,0
M15540,297.8,104,0
M15541,297.7,259,0
H30096,297.8,225,0
L47863,297.7,396,0
L47864,297.7,346,0
M15545,297.7,330,0
M15546,297.7,336,0
M15547,297.7,317,0
H30102,297.6,286,0
H30103,297.6,423,0
H30104,297.6,448,0
L47871,297.7,406,0
L47872,297.7,331,0
L47873,297.7,210,0
L47874,297.6,492,0
L47875,297.6,457,0
M15556,297.6,125,0
M15557,297.6,231,0
L47878,297.6,140,0
H30113,297.5,235,0
M15560,297.6,455,0
L47881,297.7,498,0
M15562,297.7,130,0
H30117,297.7,366,0
L47884,297.7,219,0
L47885,297.7,347,0
M15566,297.8,397,0
L47887,297.7,265,0
M15568,297.6,397,0
M15569,297.6,488,0
M15570,297.5,282,0
L47891,297.5,120,0
L47892,297.5,444,0
L47893,297.4,153,0
L47894,297.4,411,0
L47895,297.4,309,0
H30130,297.4,286,0
L47897,297.4,221,0
L47898,297.5,477,0
L47899,297.4,218,0
L47900,297.4,281,0
L47901,297.5,116,0
L47902,297.5,343,0
M15583,297.4,239,0
L47904,297.5,466,0
L47905,297.4,210,0
M15586,297.4,275,0
H30141,297.3,417,0
M15588,297.4,200,0
L47909,297.3,430,0
M15590,297.3,332,0
M15591,297.3,316,0
L47912,297.2,418,0
M15593,297.1,491,0
H30148,297,255,0
L47915,296.9,299,0
L47916,296.9,321,0
H30151,296.9,186,0
L47918,296.8,420,0
L47919,296.9,367,0
M15600,296.9,487,0
L47921,296.9,135,0
L47922,296.8,227,0
L47923,296.8,168,0
L47924,296.7,346,0
L47925,296.7,115,0
L47926,296.8,387,1
L47927,296.8,192,0
H30162,296.7,223,0
L47929,296.6,326,0
L47930,296.7,420,0
M15611,296.8,488,0
L47932,296.9,225,0
L47933,296.8,194,0
M15614,296.9,300,0
H30169,296.8,490,0
L47936,296.8,459,0
L47937,296.9,458,0
L47938,296.8,395,0
M15619,296.7,426,0
L47940,296.7,125,0
L47941,296.7,341,0
M15622,296.7,498,0
L47943,296.7,114,0
L47944,296.8,255,0
L47945,296.9,190,0
L47946,296.8,435,0
L47947,296.9,363,0
L47948,296.9,327,0
L47949,296.9,439,0
L47950,296.8,358,0
H30185,296.8,119,0
H30186,296.8,317,0
L47953,296.8,453,0
L47954,296.8,183,0
L47955,296.7,387,0
L47956,296.7,415,0
L47957,296.7,473,0
L47958,296.7,465,0
L47959,296.8,222,0
M15640,296.9,274,0
L47961,296.8,427,0
L47962,296.8,432,0
H30197,296.7,129,0
L47964,296.7,231,0
M15645,296.9,274,0
L47966,296.9,326,0
L47967,296.9,372,0
M15648,296.9,113,0
M15649,296.9,383,0
L47970,296.8,422,0
L47971,296.8,364,0
L47972,296.8,233,0
M15653,296.8,386,0
H30208,296.9,246,0
L47975,296.9,193,0
M15656,296.9,191,0
L47977,296.8,208,0
M15658,296.9,227,0
M15659,297,202,0
M15660,297,254,0
L47981,296.9,346,0
L47982,296.9,471,0
H30217,296.9,435,0
M15664,296.9,358,0
M15665,297,379,0
M15666,297,148,0
L47987,297,239,0
L47988,296.9,260,0
L47989,296.9,477,0
L47990,296.9,252,0
L47991,296.8,261,0
L47992,296.8,344,0
L47993,296.8,228,0
M15674,296.8,170,0
M15675,296.8,100,0
L47996,296.8,356,0
L47997,296.8,103,0
L47998,296.8,100,0
L47999,296.8,496,0
L48000,296.7,109,0
L48001,296.7,178,0
M15682,296.7,405,0
M15683,296.6,164,0
L48004,296.6,172,0
L48005,296.6,160,0
L48006,296.5,375,0
L48007,296.5,444,0
L48008,296.5,291,0
L48009,296.5,246,0
L48010,296.6,155,0
M15691,296.6,163,0
L48012,296.6,180,0
L48013,296.6,339,0
H30248,296.6,238,0
M15695,296.7,232,0
L48016,296.6,299,0
L48017,296.6,316,0
H30252,296.6,263,0
M15699,296.5,321,0
L48020,296.6,285,0
L48021,296.6,254,0
M15702,296.6,363,0
L48023,296.6,101,0
L48024,296.5,183,0
L48025,296.3,230,0
M15706,296.4,247,0
L48027,296.4,223,1
L48028,296.3,299,0
H30263,296.4,403,0
L48030,296.3,392,0
M15711,296.2,455,0
M15712,296.3,411,0
L48033,296.3,176,0
M15714,296.3,454,0
L48035,296.1,223,0
L48036,296.1,477,0
M15717,296.1,451,0
M15718,296.2,102,0
H30273,296.2,322,0
H30274,296.1,169,0
M15721,296.1,389,0
H30276,296.1,326,0
L48043,296,242,0
M15724,296,114,0
L48045,295.9,481,0
L48046,295.9,489,0
H30281,295.9,228,0
M15728,295.8,367,0
L48049,295.8,297,0
L48050,295.8,399,0
L48051,295.8,403,0
M15732,295.8,372,0
L48053,295.9,449,0
L48054,295.9,436,0
M15735,295.8,393,0
L48056,295.7,216,0
M15737,295.6,141,0
M15738,295.7,425,0
L48059,295.8,171,0
M15740,295.8,426,1
L48061,295.7,476,0
M15742,295.7,293,0
L48063,295.7,429,0
L48064,295.8,434,0
L48065,295.7,245,0
L48066,295.7,300,0
H30301,295.7,151,0
M15748,295.6,312,0
L48069,295.6,393,0
L48070,295.6,222,0
L48071,295.7,181,0
L48072,295.7,388,0
M15753,295.7,313,0
L48074,295.6,271,0
M15755,295.6,191,0
L48076,295.5,127,0
L48077,295.6,413,0
L48078,295.6,471,0
H30313,295.6,469,0
L48080,295.6,238,0
H30315,295.6,100,0
L48082,295.6,223,0
L48083,295.7,162,1
H30318,295.7,329,0
L48085,295.6,173,0
M15766,295.6,295,0
M15767,295.6,134,0
M15768,295.5,418,0
L48089,295.5,328,0
L48090,295.5,118,0
M15771,295.6,431,0
L48092,295.6,301,0
L48093,295.5,104,0
M15774,295.4,267,0
M15775,295.4,186,0
M15776,295.3,493,0
L48097,295.3,109,0
M15778,295.3,183,0
L48099,295.4,231,0
M15780,295.5,268,0
H30335,295.5,470,0
M15782,295.5,363,0
M15783,295.5,448,0
L48104,295.5,101,0
H30339,295.6,202,0
L48106,295.6,301,1
H30341,295.6,359,0
L48108,295.6,335,0
L48109,295.6,469,0
M15790,295.5,439,0
L48111,295.5,100,0
L48112,295.6,312,0
L48113,295.5,311,0
M15794,295.5,254,0
M15795,295.5,464,0
M15796,295.6,370,0
L48117,295.6,153,0
L48118,295.6,402,0
L48119,295.5,113,0
L48120,295.6,443,0
L48121,295.6,416,0
M15802,295.7,444,0
M15803,295.6,403,0
M15804,295.7,281,0
M15805,295.7,179,0
L48126,295.6,185,0
L48127,295.6,142,0
M15808,295.6,182,0
L48129,295.6,447,0
L48130,295.6,293,0
H30365,295.6,417,0
L48132,295.5,351,0
L48133,295.5,446,0
H30368,295.6,487,0
L48135,295.6,394,0
H30370,295.6,371,0
M15817,295.7,484,0
L48138,295.8,288,0
L48139,295.8,207,0
L48140,295.8,216,0
L48141,295.8,471,0
M15822,295.8,340,0
L48143,295.8,270,0
L48144,295.7,453,0
L48145,295.8,434,0
M15826,295.8,490,0
M15827,295.9,424,0
L48148,295.9,168,0
L48149,295.9,470,0
L48150,295.8,225,0
L48151,295.9,236,0
L48152,295.8,104,0
L48153,295.9,381,0
L48154,296,118,0
M15835,296,439,0
M15836,296,201,0
L48157,296,229,0
M15838,296.2,422,0
L48159,296.2,304,0
L48160,296.1,241,0
L48161,296.2,427,0
L48162,296.2,302,0
L48163,296.2,341,0
L48164,296.3,456,0
L48165,296.4,491,0
H30400,296.4,222,0
M15847,296.3,324,0
H30402,296.3,254,0
M15849,296.2,224,0
L48170,296.2,165,0
M15851,296.1,165,0
L48172,296.1,405,0
M15853,296.1,410,0
M15854,296.2,200,0
L48175,296.3,206,0
M15856,296.3,289,0
M15857,296.3,235,0
M15858,296.4,394,0
L48179,296.3,460,0
L48180,296.3,460,0
L48181,296.3,297,0
L48182,296.3,293,0
L48183,296.2,358,0
H30418,296.3,127,0
L48185,296.2,251,0
L48186,296.2,235,0
M15867,296.2,257,0
L48188,296.2,182,0
M15869,296.2,166,0
M15870,296.2,328,0
M15871,296.2,415,0
M15872,296.1,283,0
M15873,296.1,286,0
L48194,296.2,276,0
L48195,296.2,498,0
M15876,296.3,445,1
L48197,296.3,308,0
L48198,296.3,189,0
L48199,296.3,478,0
L48200,296.3,182,0
M15881,296.3,256,0
L48202,296.2,148,0
L48203,296.2,215,0
L48204,296.2,193,0
L48205,296.2,145,0
L48206,296.4,352,0
M15887,296.3,248,0
L48208,296.3,138,0
M15889,296.2,348,0
L48210,296.3,348,0
L48211,296.4,402,0
L48212,296.3,202,0
H30447,296.4,277,0
M15894,296.3,290,0
L48215,296.4,197,0
M15896,296.4,323,0
H30451,296.4,412,0
L48218,296.6,439,0
L48219,296.7,321,0
L48220,296.7,333,0
L48221,296.6,452,0
L48222,296.6,281,0
L48223,296.5,438,0
L48224,296.5,110,0
H30459,296.4,473,0
L48226,296.4,441,0
M15907,296.6,301,0
L48228,296.5,207,0
L48229,296.5,458,0
L48230,296.6,143,0
L48231,296.6,251,0
L48232,296.7,453,0
M15913,296.7,196,0
H30468,296.8,365,0
L48235,296.8,448,0
L48236,296.8,195,0
L48237,296.8,455,0
L48238,296.7,474,0
M15919,296.7,210,0
H30474,296.7,313,0
L48241,296.7,251,0
L48242,296.8,130,0
M15923,296.8,404,0
M15924,296.8,490,0
L48245,296.8,391,0
M15926,296.9,410,0
L48247,296.9,495,0
L48248,296.8,155,0
M15929,296.9,426,0
M15930,296.9,211,0
L48251,296.9,230,0
M15932,297,199,0
L48253,297,168,0
L48254,297,409,0
H30489,296.9,395,0
L48256,296.9,216,0
L48257,296.8,348,0
H30492,296.9,253,0
L48259,297,210,0
L48260,297,164,0
L48261,297,168,0
H30496,297.1,143,0
L48263,297,302,0
M15944,297,328,0
L48265,297,228,1
L48266,297,433,0
H30501,296.9,159,1
M15948,296.9,294,0
M15949,296.9,375,0
L48270,296.9,171,0
L48271,297,134,0
M15952,296.9,278,0
M15953,296.8,124,0
L48274,296.9,302,0
L48275,296.9,192,1
L48276,297,158,0
H30511,296.9,424,0
M15958,296.9,410,0
M15959,296.8,104,0
H30514,296.8,369,0
H30515,296.7,288,0
L48282,296.8,208,0
M15963,296.7,390,0
L48284,296.6,386,0
M15965,296.6,425,0
L48286,296.7,481,0
M15967,296.7,343,0
L48288,296.6,463,0
L48289,296.6,286,0
L48290,296.5,436,0
H30525,296.5,235,0
M15972,296.5,326,0
M15973,296.6,180,0
H30528,296.4,461,0
M15975,296.4,103,0
L48296,296.4,363,0
L48297,296.5,192,0
L48298,296.5,343,0
L48299,296.5,407,0
H30534,296.6,215,0
L48301,296.6,458,0
L48302,296.5,188,0
H30537,296.6,217,1
M15984,296.7,184,1
M15985,296.7,333,0
L48306,296.8,104,0
M15987,296.7,109,0
M15988,296.8,428,0
L48309,296.7,126,0
L48310,296.8,153,0
L48311,296.8,137,0
L48312,296.8,128,0
M15993,296.8,242,0
M15994,296.9,347,0
L48315,296.9,270,0
L48316,296.9,171,0
L48317,296.9,465,0
L48318,296.9,184,0
M15999,297,401,0
M16000,296.9,165,0
L48321,297,477,0
L48322,296.9,186,0
L48323,297,220,0
L48324,297,352,1
L48325,297,486,0
L48326,297,209,0
M16007,297.1,481,0
L48328,297.1,122,0
L48329,297.2,200,0
L48330,297.1,352,0
L48331,297,258,0
L48332,297.1,476,0
H30567,297,307,0
L48334,296.9,369,0
H30569,297,292,0
H30570,297,117,0
L48337,297,338,0
L48338,297,465,0
L48339,297,132,0
H30574,297,434,0
L48341,297,408,1
L48342,296.9,291,1
L48343,296.9,420,0
L48344,297.1,458,0
L48345,297.1,479,0
M16026,297.1,195,0
L48347,297,407,1
L48348,297.1,230,0
L48349,297,342,0
M16030,297.1,404,0
H30585,297,366,0
L48352,297.1,130,0
H30587,297.1,492,0
M16034,297.1,184,0
M16035,297.2,471,0
M16036,297.2,152,0
M16037,297.2,140,0
